Date,Close,Change,Open,High,Low,Volume,Tziros
27/3/2020,0.14,"-7,5137%",148,148,"0,1354",236.034,"33.519,01"
30/3/2020,0.14,"1,1817%","0,1354",138,"0,1262",249.856,"33.224,68"
31/3/2020,0.14,"0,7299%",146,148,137,225.737,"31.993,16"
01/4/2020,0.13,"-2,8986%",137,137,"0,13",164.177,"21.766,10"
02/4/2020,0.13,"-2,5373%","0,1306","0,14",128,352.047,"47.588,64"
03/4/2020,0.13,"1,8377%",132,"0,1344","0,13",139.188,"18.270,83"
06/4/2020,0.15,"9,0226%",137,146,137,224.279,"32.159,95"
07/4/2020,0.16,"10,3448%",149,"0,1624",149,446.723,"70.660,12"
08/4/2020,0.17,"8,1250%","0,16",173,"0,1564",265.079,"43.778,45"
09/4/2020,0.17,"-3,9306%",174,178,165,516.853,"88.515,41"
14/4/2020,0.16,"-0,8424%","0,17","0,17","0,1604",393.127,"64.549,03"
15/4/2020,0.16,"-2,9126%",166,"0,1674","0,1596",340.186,"55.632,93"
16/4/2020,0.16,"0,0000%","0,16","0,1646",158,188.423,"30.376,05"
21/4/2020,0.15,"-3,7500%","0,1552",159,"0,1516",172.486,"26.615,03"
22/4/2020,0.16,"3,8961%",163,164,158,216.026,"34.910,86"
23/4/2020,0.15,"-5,0000%","0,16",164,152,387.278,"61.120,25"
24/4/2020,0.15,"-1,3158%",152,156,146,378.709,"56.875,22"
27/4/2020,0.15,"-3,0667%","0,15",155,145,707.137,"105.439,42"
28/4/2020,0.15,"3,0261%",149,153,142,402.646,"59.113,16"
29/4/2020,0.15,"-1,2016%","0,15",152,"0,1462",265.979,"39.780,80"
30/4/2020,0.14,"-4,0541%","0,15","0,15",142,227.121,"32.997,68"
04/5/2020,0.14,"-4,7887%","0,14","0,14","0,13",286.162,"38.075,17"
05/5/2020,0.13,"-3,1065%",132,"0,1412",128,363.526,"48.233,30"
06/5/2020,0.13,"-3,9695%",132,132,"0,1246",276.698,"35.136,92"
07/5/2020,0.12,"-0,9539%",126,128,"0,12",218.379,"26.960,65"
08/5/2020,0.12,"-0,4815%","0,1216","0,13","0,12",217,"27.164,43"
11/5/2020,0.14,"12,9032%",125,"0,15",125,483.984,"67.748,46"
12/5/2020,0.14,"-2,8571%","0,14","0,1408","0,1334",312.281,"42.719,89"
13/5/2020,0.12,"-11,0294%",136,136,"0,12",428.415,"54.540,00"
14/5/2020,0.12,"-1,6529%","0,1208","0,1208","0,11",368.465,"43.329,19"
15/5/2020,0.12,"0,8403%",122,125,115,253.483,"30.473,57"
18/5/2020,0.12,"0,8333%","0,12","0,1228","0,1164",120.562,"14.488,29"
19/5/2020,0.12,"0,8264%",121,"0,1278",121,429.151,"53.485,45"
20/5/2020,0.13,"6,3934%",122,"0,1298",118,143.794,"17.801,78"
21/5/2020,0.13,"-3,2357%","0,1298",133,"0,1244",103.567,"13.151,14"
